variable,regressor,regressor__n_neighbors,pca,scaler,regressor__weights,regressor__metric,score,std
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,distance,manhattan,-0.64910418,0.05345019
dwi_sin,KNeighborsRegressor,3,None,RobustScaler,distance,chebyshev,-0.66138003,0.05734971
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),None,uniform,euclidean,-0.54917681,0.05347321
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),None,uniform,manhattan,-0.55499489,0.05981607
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),None,uniform,chebyshev,-0.56422615,0.05415634
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),None,distance,euclidean,-0.54881929,0.05282022
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),None,distance,manhattan,-0.55550505,0.05894673
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),None,distance,chebyshev,-0.5641799,0.05367294
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),StandardScaler,uniform,euclidean,-0.64658963,0.05876227
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),StandardScaler,uniform,manhattan,-0.66603555,0.04496965
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),StandardScaler,uniform,chebyshev,-0.68021305,0.07560105
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),StandardScaler,distance,euclidean,-0.64658963,0.05876227
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),StandardScaler,distance,manhattan,-0.66603555,0.04496965
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),StandardScaler,distance,chebyshev,-0.68021305,0.07560105
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),RobustScaler,uniform,euclidean,-0.54712568,0.05007308
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),RobustScaler,uniform,manhattan,-0.56044364,0.05445107
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),RobustScaler,uniform,chebyshev,-0.57821679,0.06629344
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),RobustScaler,distance,euclidean,-0.54771708,0.05031285
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),RobustScaler,distance,manhattan,-0.56103548,0.05331025
dwi_sin,KNeighborsRegressor,3,PCA(n_components=0.95),RobustScaler,distance,chebyshev,-0.57868195,0.06546244
dwi_sin,KNeighborsRegressor,5,None,None,uniform,euclidean,-0.52003132,0.04893112
dwi_sin,KNeighborsRegressor,5,None,None,uniform,manhattan,-0.53057411,0.05697837
dwi_sin,KNeighborsRegressor,5,None,None,uniform,chebyshev,-0.53863971,0.05620727
dwi_sin,KNeighborsRegressor,5,None,None,distance,euclidean,-0.51915247,0.0485306
dwi_sin,KNeighborsRegressor,5,None,None,distance,manhattan,-0.53016073,0.05695515
dwi_sin,KNeighborsRegressor,5,None,None,distance,chebyshev,-0.53827224,0.05605437
dwi_sin,KNeighborsRegressor,5,None,StandardScaler,uniform,euclidean,-0.50771038,0.04831531
dwi_sin,KNeighborsRegressor,5,None,StandardScaler,uniform,manhattan,-0.51634944,0.05816036
dwi_sin,KNeighborsRegressor,5,None,StandardScaler,uniform,chebyshev,-0.52218339,0.0586225
dwi_sin,KNeighborsRegressor,5,None,StandardScaler,distance,euclidean,-0.5065642,0.04816919
dwi_sin,KNeighborsRegressor,5,None,StandardScaler,distance,manhattan,-0.51587618,0.05806701
dwi_sin,KNeighborsRegressor,5,None,StandardScaler,distance,chebyshev,-0.52175179,0.0584038
dwi_sin,KNeighborsRegressor,5,None,RobustScaler,uniform,euclidean,-0.52262063,0.04742529
dwi_sin,KNeighborsRegressor,5,None,RobustScaler,uniform,manhattan,-0.53718504,0.05996912
dwi_sin,KNeighborsRegressor,5,None,RobustScaler,uniform,chebyshev,-0.54138424,0.0582809
dwi_sin,KNeighborsRegressor,5,None,RobustScaler,distance,euclidean,-0.52204399,0.04708315
dwi_sin,KNeighborsRegressor,5,None,RobustScaler,distance,manhattan,-0.53701255,0.05988262
dwi_sin,KNeighborsRegressor,5,None,RobustScaler,distance,chebyshev,-0.54078697,0.05838718
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),None,uniform,euclidean,-0.50940231,0.0495014
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),None,uniform,manhattan,-0.51902711,0.06121025
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),None,uniform,chebyshev,-0.52258903,0.05883026
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),None,distance,euclidean,-0.50869125,0.04891717
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),None,distance,manhattan,-0.51895147,0.06108332
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),None,distance,chebyshev,-0.52244234,0.05905975
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),StandardScaler,uniform,euclidean,-0.56826027,0.04502831
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),StandardScaler,uniform,manhattan,-0.54837873,0.05922578
