variable,regressor__n_estimators,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,regressor__max_features,score,std,regressor
dwi_sin,400,20.0,10,4,log2,-0.46889393,0.06103062,RandomForestRegressor
dwi_sin,500,None,2,1,sqrt,-0.46888706,0.06120805,RandomForestRegressor
dwi_sin,500,None,2,1,log2,-0.46908519,0.06207665,RandomForestRegressor
dwi_sin,500,None,2,4,sqrt,-0.46727687,0.06215595,RandomForestRegressor
dwi_sin,500,None,2,4,log2,-0.46689981,0.06212381,RandomForestRegressor
dwi_sin,500,None,10,1,sqrt,-0.46583969,0.0628197,RandomForestRegressor
dwi_sin,500,None,10,1,log2,-0.46660333,0.06249182,RandomForestRegressor
dwi_sin,500,None,10,4,sqrt,-0.46650081,0.06286716,RandomForestRegressor
dwi_sin,500,None,10,4,log2,-0.4664818,0.062503,RandomForestRegressor
dwi_sin,500,20.0,2,1,sqrt,-0.46975028,0.06108139,RandomForestRegressor
dwi_sin,500,20.0,2,1,log2,-0.47060119,0.06067375,RandomForestRegressor
dwi_sin,500,20.0,2,4,sqrt,-0.47032672,0.06048116,RandomForestRegressor
dwi_sin,500,20.0,2,4,log2,-0.47035706,0.0603786,RandomForestRegressor
dwi_sin,500,20.0,10,1,sqrt,-0.47081937,0.06133024,RandomForestRegressor
dwi_sin,500,20.0,10,1,log2,-0.46966575,0.0613279,RandomForestRegressor
dwi_sin,500,20.0,10,4,sqrt,-0.4672595,0.06193297,RandomForestRegressor
dwi_sin,500,20.0,10,4,log2,-0.4673197,0.06217684,RandomForestRegressor
dwi_sin,600,None,2,1,sqrt,-0.46712256,0.06220943,RandomForestRegressor
dwi_sin,600,None,2,1,log2,-0.46722005,0.06206803,RandomForestRegressor
dwi_sin,600,None,2,4,sqrt,-0.4672096,0.06242744,RandomForestRegressor
dwi_sin,600,None,2,4,log2,-0.46715393,0.06235974,RandomForestRegressor
dwi_sin,600,None,10,1,sqrt,-0.46970504,0.06155577,RandomForestRegressor
dwi_sin,600,None,10,1,log2,-0.47015587,0.06139568,RandomForestRegressor
dwi_sin,600,None,10,4,sqrt,-0.46952828,0.06179957,RandomForestRegressor
dwi_sin,600,None,10,4,log2,-0.46951877,0.0622351,RandomForestRegressor
dwi_sin,600,20.0,2,1,sqrt,-0.46954694,0.06131553,RandomForestRegressor
dwi_sin,600,20.0,2,1,log2,-0.46947743,0.06181753,RandomForestRegressor
dwi_sin,600,20.0,2,4,sqrt,-0.46677993,0.06262439,RandomForestRegressor
dwi_sin,600,20.0,2,4,log2,-0.46611404,0.06277667,RandomForestRegressor
dwi_sin,600,20.0,10,1,sqrt,-0.46639377,0.06213312,RandomForestRegressor
dwi_sin,600,20.0,10,1,log2,-0.4665306,0.0625333,RandomForestRegressor
dwi_sin,600,20.0,10,4,sqrt,-0.46588011,0.06192933,RandomForestRegressor
dwi_sin,600,20.0,10,4,log2,-0.46635391,0.06251481,RandomForestRegressor
dwi_cos,100,None,2,1,sqrt,-0.40742697,0.03770745,RandomForestRegressor
dwi_cos,100,None,2,1,log2,-0.40536744,0.03683526,RandomForestRegressor
dwi_cos,100,None,2,4,sqrt,-0.40612716,0.03668706,RandomForestRegressor
dwi_cos,100,None,2,4,log2,-0.40678354,0.03650504,RandomForestRegressor
