variable,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,regressor__min_samples_leaf,regressor__subsample,regressor__max_features,score,std
dwi_sin,300,0.05,None,20,0.8,sqrt,-0.48030357,0.06077802
dwi_sin,300,0.05,None,20,0.8,log2,-0.49192163,0.05738449
dwi_sin,300,0.05,5.0,10,1.0,sqrt,-0.4735742,0.06685999
dwi_sin,300,0.05,5.0,10,1.0,log2,-0.47392611,0.06622247
dwi_sin,300,0.05,5.0,10,0.8,sqrt,-0.47486325,0.06517757
dwi_sin,300,0.05,5.0,10,0.8,log2,-0.48146505,0.06801831
dwi_sin,300,0.05,5.0,20,1.0,sqrt,-0.4770382,0.06751541
dwi_sin,300,0.05,5.0,20,1.0,log2,-0.47853357,0.06472752
dwi_sin,300,0.05,5.0,20,0.8,sqrt,-0.46863074,0.06564672
dwi_sin,300,0.05,5.0,20,0.8,log2,-0.47106877,0.06627237
dwi_sin,300,0.1,None,10,1.0,sqrt,-0.47452596,0.06509288
dwi_sin,300,0.1,None,10,1.0,log2,-0.47713077,0.06679295
dwi_sin,300,0.1,None,10,0.8,sqrt,-0.482315,0.06854067
dwi_sin,300,0.1,None,10,0.8,log2,-0.47910625,0.06671863
dwi_sin,300,0.1,None,20,1.0,sqrt,-0.46991077,0.06683425
dwi_sin,300,0.1,None,20,1.0,log2,-0.47071406,0.06799747
dwi_sin,300,0.1,None,20,0.8,sqrt,-0.47709249,0.06603531
dwi_sin,300,0.1,None,20,0.8,log2,-0.47782729,0.07067265
dwi_sin,300,0.1,5.0,10,1.0,sqrt,-0.47649074,0.06497173
dwi_sin,300,0.1,5.0,10,1.0,log2,-0.48031395,0.0665392
dwi_sin,300,0.1,5.0,10,0.8,sqrt,-0.46844344,0.06420447
dwi_sin,300,0.1,5.0,10,0.8,log2,-0.46908625,0.06736809
dwi_sin,300,0.1,5.0,20,1.0,sqrt,-0.47419868,0.06794872
dwi_sin,300,0.1,5.0,20,1.0,log2,-0.47574122,0.06820867
dwi_sin,300,0.1,5.0,20,0.8,sqrt,-0.47698135,0.06525643
dwi_sin,300,0.1,5.0,20,0.8,log2,-0.47969444,0.06663224
dwi_sin,400,0.05,None,10,1.0,sqrt,-0.47776919,0.05930907
dwi_sin,400,0.05,None,10,1.0,log2,-0.48375612,0.05940522
dwi_sin,400,0.05,None,10,0.8,sqrt,-0.4782046,0.06157247
dwi_sin,400,0.05,None,10,0.8,log2,-0.48133964,0.06158895
dwi_sin,400,0.05,None,20,1.0,sqrt,-0.47960015,0.06108123
dwi_sin,400,0.05,None,20,1.0,log2,-0.47809194,0.06023085
dwi_sin,400,0.05,None,20,0.8,sqrt,-0.4790681,0.06203021
dwi_sin,400,0.05,None,20,0.8,log2,-0.48223242,0.06326154
dwi_sin,400,0.05,5.0,10,1.0,sqrt,-0.47210682,0.06555619
dwi_sin,400,0.05,5.0,10,1.0,log2,-0.4737539,0.06859353
dwi_sin,400,0.05,5.0,10,0.8,sqrt,-0.47165224,0.06589881
dwi_sin,400,0.05,5.0,10,0.8,log2,-0.47401282,0.06715831
dwi_sin,400,0.05,5.0,20,1.0,sqrt,-0.4707279,0.06681334
dwi_sin,400,0.05,5.0,20,1.0,log2,-0.47485919,0.06709631
dwi_sin,400,0.05,5.0,20,0.8,sqrt,-0.4706964,0.06675761
dwi_sin,400,0.05,5.0,20,0.8,log2,-0.47315022,0.0660339
dwi_sin,400,0.1,None,10,1.0,sqrt,-0.48224179,0.06002561
dwi_sin,400,0.1,None,10,1.0,log2,-0.48786112,0.06116245
dwi_sin,400,0.1,None,10,0.8,sqrt,-0.48491105,0.06323116
dwi_sin,400,0.1,None,10,0.8,log2,-0.49329426,0.06220181
dwi_sin,400,0.1,None,20,1.0,sqrt,-0.48292685,0.06463201
dwi_sin,400,0.1,None,20,1.0,log2,-0.49476846,0.0619957
dwi_sin,400,0.1,None,20,0.8,sqrt,-0.48257339,0.06242019
dwi_sin,400,0.1,None,20,0.8,log2,-0.48853282,0.06078493
dwi_sin,400,0.1,5.0,10,1.0,sqrt,-0.48039306,0.06425522
dwi_sin,400,0.1,5.0,10,1.0,log2,-0.48347535,0.06653194
dwi_sin,400,0.1,5.0,10,0.8,sqrt,-0.48033076,0.0656427
dwi_sin,400,0.1,5.0,10,0.8,log2,-0.48325469,0.06511898
dwi_sin,400,0.1,5.0,20,1.0,sqrt,-0.48085997,0.06780901
dwi_sin,400,0.1,5.0,20,1.0,log2,-0.48465507,0.06849678
dwi_sin,400,0.1,5.0,20,0.8,sqrt,-0.48150236,0.06886323
dwi_sin,400,0.1,5.0,20,0.8,log2,-0.48322784,0.06862946
dwi_sin,500,0.05,None,10,1.0,sqrt,-0.47706355,0.05969483
