variable,source_file,regressor,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,score,std
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,1,-0.6090857,0.05431064
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,2,-0.63441967,0.05041225
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,4,-0.63786375,0.04686658
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,1,-0.62188251,0.0462293
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,2,-0.60524041,0.05446723
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,4,-0.61516594,0.05035143
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,1,-0.61748587,0.04675953
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,2,-0.60730915,0.0455719
dwi_sin,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,4,-0.59786385,0.05460691
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,1,-0.55443577,0.03021145
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,2,-0.54215573,0.03206621
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,4,-0.53902639,0.02472434
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,1,-0.5213272,0.03269673
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,2,-0.54121001,0.03490398
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,4,-0.54869816,0.036609
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,1,-0.53693243,0.03168135
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,2,-0.51965919,0.03540054
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,4,-0.53080345,0.03361498
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,1,-0.52760622,0.03483194
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,2,-0.52732331,0.03323511
