variable,scaler,regressor__hidden_layer_sizes,regressor__activation,regressor__solver,regressor__learning_rate_init,regressor__alpha,regressor__batch_size,score,std
dwi_sin,None,"(100,)",tanh,adam,0.001,0.0001,32,-0.51288626,0.06873769
dwi_sin,None,"(100,)",tanh,adam,0.001,0.001,auto,-0.50498443,0.05723576
dwi_sin,None,"(100,)",tanh,adam,0.001,0.001,32,-0.49696358,0.05365401
dwi_sin,None,"(100,)",tanh,adam,0.01,0.0001,auto,-0.50644833,0.05811748
dwi_sin,None,"(100,)",tanh,adam,0.01,0.0001,32,-0.52217306,0.06850111
dwi_sin,None,"(100,)",tanh,adam,0.01,0.001,auto,-0.47753558,0.06329417
dwi_sin,None,"(100,)",tanh,adam,0.01,0.001,32,-0.48562315,0.05080944
dwi_sin,None,"(100,)",logistic,adam,0.001,0.0001,auto,-0.51331808,0.05621591
dwi_sin,None,"(100,)",logistic,adam,0.001,0.0001,32,-0.50646655,0.05850926
dwi_sin,None,"(100,)",logistic,adam,0.001,0.001,auto,-0.51617398,0.05068168
dwi_sin,None,"(100,)",logistic,adam,0.001,0.001,32,-0.50725207,0.05820144
dwi_sin,None,"(100,)",logistic,adam,0.01,0.0001,auto,-0.50601651,0.05556453
dwi_sin,None,"(100,)",logistic,adam,0.01,0.0001,32,-0.52768294,0.06339987
dwi_sin,None,"(100,)",logistic,adam,0.01,0.001,auto,-0.51408161,0.0517107
dwi_sin,None,"(100,)",logistic,adam,0.01,0.001,32,-0.51350967,0.07410439
dwi_sin,StandardScaler,"(100,)",relu,adam,0.001,0.0001,auto,-0.52211849,0.05507857
dwi_sin,StandardScaler,"(100,)",relu,adam,0.001,0.0001,32,-0.51039663,0.07129099
dwi_sin,StandardScaler,"(100,)",relu,adam,0.001,0.001,auto,-0.51895669,0.06001978
dwi_sin,StandardScaler,"(100,)",relu,adam,0.001,0.001,32,-0.51956908,0.06904605
dwi_sin,StandardScaler,"(100,)",relu,adam,0.01,0.0001,auto,-0.51550125,0.05413976
dwi_sin,StandardScaler,"(100,)",relu,adam,0.01,0.0001,32,-0.51507348,0.05352297
dwi_sin,StandardScaler,"(100,)",relu,adam,0.01,0.001,auto,-0.49969903,0.05688381
dwi_sin,StandardScaler,"(100,)",relu,adam,0.01,0.001,32,-0.50874534,0.06752952
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.001,0.0001,auto,-0.48069623,0.05466456
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.001,0.0001,32,-0.4794596,0.05782823
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.001,0.001,auto,-0.49044738,0.05405806
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.001,0.001,32,-0.49572642,0.05125184
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.01,0.0001,auto,-0.49004789,0.05600904
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.01,0.0001,32,-0.48103095,0.06249012
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.01,0.001,auto,-0.49721378,0.04337077
dwi_sin,StandardScaler,"(100,)",tanh,adam,0.01,0.001,32,-0.49331008,0.05493796
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.001,0.0001,auto,-0.47728696,0.05845211
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.001,0.0001,32,-0.48573076,0.06074846
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.001,0.001,auto,-0.487636,0.06137813
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.001,0.001,32,-0.48467323,0.05515377
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.01,0.0001,auto,-0.48154685,0.04868089
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.01,0.0001,32,-0.48499996,0.06963004
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.01,0.001,auto,-0.49192474,0.0606155
dwi_sin,StandardScaler,"(100,)",logistic,adam,0.01,0.001,32,-0.49431182,0.0543201
dwi_sin,None,"(30, 10)",relu,adam,0.001,0.0001,auto,-0.50033362,0.0475328
dwi_sin,None,"(30, 10)",relu,adam,0.001,0.0001,32,-0.51068914,0.06402315
dwi_sin,None,"(30, 10)",relu,adam,0.001,0.001,auto,-0.49268324,0.05519092
dwi_sin,None,"(30, 10)",relu,adam,0.001,0.001,32,-0.51721764,0.06874379
dwi_sin,None,"(30, 10)",relu,adam,0.01,0.0001,auto,-0.49793658,0.06603028
dwi_sin,None,"(30, 10)",relu,adam,0.01,0.0001,32,-0.50814744,0.06641063
dwi_sin,None,"(30, 10)",relu,adam,0.01,0.001,auto,-0.48393743,0.06166601
dwi_sin,None,"(30, 10)",relu,adam,0.01,0.001,32,-0.48092974,0.05318472
dwi_sin,None,"(30, 10)",tanh,adam,0.001,0.0001,auto,-0.50053012,0.06401489
dwi_sin,None,"(30, 10)",tanh,adam,0.001,0.0001,32,-0.51453048,0.05873247
dwi_sin,None,"(30, 10)",tanh,adam,0.001,0.001,auto,-0.49570151,0.05025385
dwi_sin,None,"(30, 10)",tanh,adam,0.001,0.001,32,-0.50374614,0.07527645
dwi_sin,None,"(30, 10)",tanh,adam,0.01,0.0001,auto,-0.49934365,0.0575927
dwi_sin,None,"(30, 10)",tanh,adam,0.01,0.0001,32,-0.5075767,0.06744623
dwi_sin,None,"(30, 10)",tanh,adam,0.01,0.001,auto,-0.47669805,0.06192228
dwi_sin,None,"(30, 10)",tanh,adam,0.01,0.001,32,-0.5031011,0.06131252
dwi_sin,None,"(30, 10)",logistic,adam,0.001,0.0001,auto,-0.5013219,0.04736021
dwi_sin,None,"(30, 10)",logistic,adam,0.001,0.0001,32,-0.51593228,0.05410462
dwi_sin,None,"(30, 10)",logistic,adam,0.001,0.001,auto,-0.50649963,0.05784047
dwi_sin,None,"(30, 10)",logistic,adam,0.001,0.001,32,-0.50723152,0.06780224
dwi_sin,None,"(30, 10)",logistic,adam,0.01,0.0001,auto,-0.49315923,0.05406887
dwi_sin,None,"(30, 10)",logistic,adam,0.01,0.0001,32,-0.504265,0.05123034
dwi_sin,None,"(30, 10)",logistic,adam,0.01,0.001,auto,-0.49685296,0.04972825
dwi_sin,None,"(30, 10)",logistic,adam,0.01,0.001,32,-0.50328801,0.07105593
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.001,0.0001,auto,-0.4978865,0.05393216
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.001,0.0001,32,-0.5092197,0.06245531
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.001,0.001,auto,-0.49968339,0.06029618
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.001,0.001,32,-0.49774553,0.06508303
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.01,0.0001,auto,-0.49430593,0.05682621
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.01,0.0001,32,-0.52432589,0.07185161
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.01,0.001,auto,-0.49123082,0.05623053
dwi_sin,StandardScaler,"(30, 10)",relu,adam,0.01,0.001,32,-0.50158431,0.06101477
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.001,0.0001,auto,-0.46894303,0.05660501
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.001,0.0001,32,-0.48080376,0.06649425
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.001,0.001,auto,-0.47969313,0.06646308
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.001,0.001,32,-0.47647837,0.05914318
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.01,0.0001,auto,-0.47009654,0.05952784
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.01,0.0001,32,-0.47382682,0.06159387
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.01,0.001,auto,-0.47802011,0.05509636
dwi_sin,StandardScaler,"(30, 10)",tanh,adam,0.01,0.001,32,-0.48564929,0.05410394
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.001,0.0001,auto,-0.47034936,0.06027965
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.001,0.0001,32,-0.47532741,0.05931978
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.001,0.001,auto,-0.47929056,0.06119825
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.001,0.001,32,-0.488527,0.0651391
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.01,0.0001,auto,-0.46940519,0.05933973
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.01,0.0001,32,-0.47605047,0.05900331
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.01,0.001,auto,-0.47691938,0.05672256
dwi_sin,StandardScaler,"(30, 10)",logistic,adam,0.01,0.001,32,-0.49348393,0.06123352
dwi_sin,None,"(100, 50, 10)",relu,adam,0.001,0.0001,auto,-0.50263931,0.05739555
dwi_sin,None,"(100, 50, 10)",relu,adam,0.001,0.0001,32,-0.50904819,0.07263104
dwi_sin,None,"(100, 50, 10)",relu,adam,0.001,0.001,auto,-0.49268002,0.05420385
dwi_sin,None,"(100, 50, 10)",relu,adam,0.001,0.001,32,-0.51216302,0.07272506
dwi_sin,None,"(100, 50, 10)",relu,adam,0.01,0.0001,auto,-0.49310856,0.05583213
dwi_sin,None,"(100, 50, 10)",relu,adam,0.01,0.0001,32,-0.50573914,0.05790505
dwi_sin,None,"(100, 50, 10)",relu,adam,0.01,0.001,auto,-0.49107555,0.05703523
dwi_sin,None,"(100, 50, 10)",relu,adam,0.01,0.001,32,-0.49571926,0.06094689
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.001,0.0001,auto,-0.5055774,0.05166431
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.001,0.0001,32,-0.51073643,0.0698695
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.001,0.001,auto,-0.49601159,0.07146898
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.001,0.001,32,-0.50452424,0.06208717
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.01,0.0001,auto,-0.51148278,0.05723164
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.01,0.0001,32,-0.50855348,0.06568133
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.01,0.001,auto,-0.48491443,0.05330928
dwi_sin,None,"(100, 50, 10)",tanh,adam,0.01,0.001,32,-0.48729384,0.066855
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.001,0.0001,auto,-0.50245942,0.05138606
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.001,0.0001,32,-0.49023375,0.06560671
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.001,0.001,auto,-0.49341838,0.05932241
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.001,0.001,32,-0.51734637,0.06127614
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.01,0.0001,auto,-0.50013018,0.05559631
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.01,0.0001,32,-0.50638658,0.0651718
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.01,0.001,auto,-0.49239221,0.05906736
dwi_sin,None,"(100, 50, 10)",logistic,adam,0.01,0.001,32,-0.49461952,0.05625843
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.0001,auto,-0.49733753,0.05735991
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.0001,32,-0.50447682,0.05470599
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.001,auto,-0.49681344,0.05206889
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.001,32,-0.49508568,0.06637241
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.0001,auto,-0.50763642,0.05810031
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.0001,32,-0.5132466,0.0588392
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.001,auto,-0.4830885,0.05389471
dwi_sin,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.001,32,-0.49496134,0.06643582
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.0001,auto,-0.47363747,0.06732298
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.0001,32,-0.47915937,0.05815545
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.001,auto,-0.47822952,0.06350445
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.001,32,-0.49977436,0.06415052
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.0001,auto,-0.47215973,0.06427156
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.0001,32,-0.48111513,0.06238178
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.001,auto,-0.49337112,0.06552859
dwi_sin,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.001,32,-0.49739201,0.06646329
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.0001,auto,-0.47604786,0.0575472
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.0001,32,-0.47863568,0.05934224
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.001,auto,-0.47734294,0.06341354
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.001,32,-0.49513328,0.06302288
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.0001,auto,-0.47338714,0.0587302
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.0001,32,-0.48365255,0.05839433
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.001,auto,-0.4686997,0.05427429
dwi_sin,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.001,32,-0.49167594,0.07516183
dwi_cos,None,"(10,)",relu,adam,0.001,0.0001,auto,-0.4299354,0.04142444
dwi_cos,None,"(10,)",relu,adam,0.001,0.0001,32,-0.44582157,0.04393249
dwi_cos,None,"(10,)",relu,adam,0.001,0.001,auto,-0.43079475,0.0458461
dwi_cos,None,"(10,)",relu,adam,0.001,0.001,32,-0.43499556,0.04543813
dwi_cos,None,"(10,)",relu,adam,0.01,0.0001,auto,-0.42534023,0.04491883
dwi_cos,None,"(10,)",relu,adam,0.01,0.0001,32,-0.43187148,0.04077277
dwi_cos,None,"(10,)",relu,adam,0.01,0.001,auto,-0.41966504,0.0278073
dwi_cos,None,"(10,)",relu,adam,0.01,0.001,32,-0.43805746,0.04490341
dwi_cos,None,"(10,)",tanh,adam,0.001,0.0001,auto,-0.42563623,0.04075082
dwi_cos,None,"(10,)",tanh,adam,0.001,0.0001,32,-0.44686846,0.0435486
