variable,scaler,regressor__hidden_layer_sizes,regressor__activation,regressor__solver,regressor__learning_rate_init,regressor__alpha,regressor__batch_size,score,std
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.01,0.001,auto,-0.44249168,0.0414515
dwi_cos,StandardScaler,"(100,)",tanh,adam,0.01,0.001,32,-0.43811702,0.03584379
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.001,0.0001,auto,-0.42543607,0.03863377
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.001,0.0001,32,-0.43025863,0.03769611
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.001,0.001,auto,-0.45817764,0.03041941
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.001,0.001,32,-0.45152354,0.0238232
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.01,0.0001,auto,-0.42865397,0.03849169
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.01,0.0001,32,-0.42877678,0.03722302
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.01,0.001,auto,-0.4417857,0.04154288
dwi_cos,StandardScaler,"(100,)",logistic,adam,0.01,0.001,32,-0.43859311,0.04720795
dwi_cos,None,"(30, 10)",relu,adam,0.001,0.0001,auto,-0.44392769,0.03456065
dwi_cos,None,"(30, 10)",relu,adam,0.001,0.0001,32,-0.46305061,0.03457509
dwi_cos,None,"(30, 10)",relu,adam,0.001,0.001,auto,-0.4406084,0.0460474
dwi_cos,None,"(30, 10)",relu,adam,0.001,0.001,32,-0.45679788,0.04764395
dwi_cos,None,"(30, 10)",relu,adam,0.01,0.0001,auto,-0.44983889,0.04776643
dwi_cos,None,"(30, 10)",relu,adam,0.01,0.0001,32,-0.45793052,0.04118387
dwi_cos,None,"(30, 10)",relu,adam,0.01,0.001,auto,-0.43750293,0.03514403
dwi_cos,None,"(30, 10)",relu,adam,0.01,0.001,32,-0.43885573,0.0428575
dwi_cos,None,"(30, 10)",tanh,adam,0.001,0.0001,auto,-0.45530479,0.06502847
dwi_cos,None,"(30, 10)",tanh,adam,0.001,0.0001,32,-0.45685896,0.04418795
dwi_cos,None,"(30, 10)",tanh,adam,0.001,0.001,auto,-0.43771387,0.04815998
dwi_cos,None,"(30, 10)",tanh,adam,0.001,0.001,32,-0.44088448,0.04365107
dwi_cos,None,"(30, 10)",tanh,adam,0.01,0.0001,auto,-0.44570218,0.04907463
dwi_cos,None,"(30, 10)",tanh,adam,0.01,0.0001,32,-0.44342109,0.03325482
dwi_cos,None,"(30, 10)",tanh,adam,0.01,0.001,auto,-0.42922911,0.04094254
dwi_cos,None,"(30, 10)",tanh,adam,0.01,0.001,32,-0.43511807,0.04243009
dwi_cos,None,"(30, 10)",logistic,adam,0.001,0.0001,auto,-0.44710149,0.0447908
dwi_cos,None,"(30, 10)",logistic,adam,0.001,0.0001,32,-0.45257274,0.03567994
dwi_cos,None,"(30, 10)",logistic,adam,0.001,0.001,auto,-0.44621869,0.03495964
dwi_cos,None,"(30, 10)",logistic,adam,0.001,0.001,32,-0.45838828,0.04144084
dwi_cos,None,"(30, 10)",logistic,adam,0.01,0.0001,auto,-0.45366814,0.03881003
dwi_cos,None,"(30, 10)",logistic,adam,0.01,0.0001,32,-0.45786712,0.03988103
dwi_cos,None,"(30, 10)",logistic,adam,0.01,0.001,auto,-0.44696584,0.037975
dwi_cos,None,"(30, 10)",logistic,adam,0.01,0.001,32,-0.45147199,0.03681813
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.001,0.0001,auto,-0.44317727,0.04298738
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.001,0.0001,32,-0.46787932,0.03261752
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.001,0.001,auto,-0.44227948,0.04287564
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.001,0.001,32,-0.45775936,0.0429282
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.01,0.0001,auto,-0.44660834,0.03747062
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.01,0.0001,32,-0.44703688,0.03868384
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.01,0.001,auto,-0.45116497,0.03390718
dwi_cos,StandardScaler,"(30, 10)",relu,adam,0.01,0.001,32,-0.45269275,0.03811501
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.001,0.0001,auto,-0.41914988,0.03720027
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.001,0.0001,32,-0.42829976,0.03657117
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.001,0.001,auto,-0.4334018,0.03912243
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.001,0.001,32,-0.43785291,0.0372119
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.01,0.0001,auto,-0.42315826,0.04259638
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.01,0.0001,32,-0.42247174,0.03721159
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.01,0.001,auto,-0.42984341,0.04800808
dwi_cos,StandardScaler,"(30, 10)",tanh,adam,0.01,0.001,32,-0.43760533,0.03976516
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.001,0.0001,auto,-0.41787576,0.03977486
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.001,0.0001,32,-0.42029949,0.03667728
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.001,0.001,auto,-0.42849075,0.03860458
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.001,0.001,32,-0.43978275,0.04265911
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.01,0.0001,auto,-0.41984187,0.04305047
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.01,0.0001,32,-0.42669767,0.03998046
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.01,0.001,auto,-0.4321142,0.02736697
dwi_cos,StandardScaler,"(30, 10)",logistic,adam,0.01,0.001,32,-0.43629802,0.03151337
dwi_cos,None,"(100, 50, 10)",relu,adam,0.001,0.0001,auto,-0.4549876,0.0418967
dwi_cos,None,"(100, 50, 10)",relu,adam,0.001,0.0001,32,-0.45453115,0.03848885
dwi_cos,None,"(100, 50, 10)",relu,adam,0.001,0.001,auto,-0.44123166,0.04623783
dwi_cos,None,"(100, 50, 10)",relu,adam,0.001,0.001,32,-0.43580135,0.04241239
dwi_cos,None,"(100, 50, 10)",relu,adam,0.01,0.0001,auto,-0.45959331,0.0407723
dwi_cos,None,"(100, 50, 10)",relu,adam,0.01,0.0001,32,-0.44712241,0.03677288
dwi_cos,None,"(100, 50, 10)",relu,adam,0.01,0.001,auto,-0.43335271,0.03687225
dwi_cos,None,"(100, 50, 10)",relu,adam,0.01,0.001,32,-0.45649894,0.08806032
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.001,0.0001,auto,-0.45193538,0.0370839
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.001,0.0001,32,-0.45355779,0.03499173
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.001,0.001,auto,-0.44283134,0.04044086
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.001,0.001,32,-0.44055585,0.04109509
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.01,0.0001,auto,-0.445134,0.03199597
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.01,0.0001,32,-0.4578131,0.04210777
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.01,0.001,auto,-0.4273006,0.04021578
dwi_cos,None,"(100, 50, 10)",tanh,adam,0.01,0.001,32,-0.43492318,0.04349982
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.001,0.0001,auto,-0.44750022,0.04904911
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.001,0.0001,32,-0.45083262,0.03738828
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.001,0.001,auto,-0.45589284,0.03723732
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.001,0.001,32,-0.45574858,0.0324681
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.01,0.0001,auto,-0.45981284,0.03879612
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.01,0.0001,32,-0.45798761,0.04152407
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.01,0.001,auto,-0.44735674,0.04628883
dwi_cos,None,"(100, 50, 10)",logistic,adam,0.01,0.001,32,-0.44968293,0.0435014
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.0001,auto,-0.45377369,0.03339363
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.0001,32,-0.45017586,0.03271882
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.001,auto,-0.45747127,0.03222722
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.001,32,-0.45891129,0.03783223
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.0001,auto,-0.44949015,0.03430189
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.0001,32,-0.45547842,0.0345439
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.001,auto,-0.44146528,0.04854681
dwi_cos,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.001,32,-0.44902139,0.04154093
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.0001,auto,-0.42580725,0.03377106
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.0001,32,-0.42333542,0.04097879
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.001,auto,-0.44861589,0.04510998
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.001,32,-0.44457162,0.03566047
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.0001,auto,-0.43124841,0.03785417
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.0001,32,-0.43337191,0.04375343
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.001,auto,-0.45369707,0.04844153
dwi_cos,StandardScaler,"(100, 50, 10)",tanh,adam,0.01,0.001,32,-0.44081044,0.03344204
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.0001,auto,-0.431738,0.04308573
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.0001,32,-0.43126469,0.03586242
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.001,auto,-0.44031058,0.04861281
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.001,0.001,32,-0.4444566,0.04702687
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.0001,auto,-0.43429713,0.03491725
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.0001,32,-0.44114986,0.03446938
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.001,auto,-0.43634357,0.03899295
dwi_cos,StandardScaler,"(100, 50, 10)",logistic,adam,0.01,0.001,32,-0.44133898,0.03161842
wind_max,None,"(10,)",relu,adam,0.001,0.0001,auto,-2.47550439,0.43357736
wind_max,None,"(10,)",relu,adam,0.001,0.0001,32,-2.50400934,0.36623876
wind_max,None,"(10,)",relu,adam,0.001,0.001,auto,-2.45273466,0.42178614
wind_max,None,"(10,)",relu,adam,0.001,0.001,32,-2.54060227,0.4018352
wind_max,None,"(10,)",relu,adam,0.01,0.0001,auto,-2.45580795,0.39336572
wind_max,None,"(10,)",relu,adam,0.01,0.0001,32,-2.52847616,0.42113335
wind_max,None,"(10,)",relu,adam,0.01,0.001,auto,-2.40858624,0.42076849
wind_max,None,"(10,)",relu,adam,0.01,0.001,32,-2.52301715,0.38711399
wind_max,None,"(10,)",tanh,adam,0.001,0.0001,auto,-2.49085641,0.41500246
wind_max,None,"(10,)",tanh,adam,0.001,0.0001,32,-2.54162582,0.44114921
wind_max,None,"(10,)",tanh,adam,0.001,0.001,auto,-2.45549283,0.44461079
wind_max,None,"(10,)",tanh,adam,0.001,0.001,32,-2.60449955,0.37085171
wind_max,None,"(10,)",tanh,adam,0.01,0.0001,auto,-2.44285527,0.4081058
wind_max,None,"(10,)",tanh,adam,0.01,0.0001,32,-2.55584742,0.41303979
wind_max,None,"(10,)",tanh,adam,0.01,0.001,auto,-2.45606921,0.4131852
wind_max,None,"(10,)",tanh,adam,0.01,0.001,32,-2.53778006,0.38938699
wind_max,None,"(10,)",logistic,adam,0.001,0.0001,auto,-2.44211183,0.47559713
wind_max,None,"(10,)",logistic,adam,0.001,0.0001,32,-2.58977829,0.36578515
wind_max,None,"(10,)",logistic,adam,0.001,0.001,auto,-2.48671492,0.44853519
wind_max,None,"(10,)",logistic,adam,0.001,0.001,32,-2.70553808,0.38175363
wind_max,None,"(10,)",logistic,adam,0.01,0.0001,auto,-2.38579215,0.43125915
wind_max,None,"(10,)",logistic,adam,0.01,0.0001,32,-2.59399632,0.34931761
wind_max,None,"(10,)",logistic,adam,0.01,0.001,auto,-2.54595041,0.40552552
wind_max,None,"(10,)",logistic,adam,0.01,0.001,32,-2.73280482,0.3681417
wind_max,StandardScaler,"(10,)",relu,adam,0.001,0.0001,auto,-2.40930519,0.46739441
wind_max,StandardScaler,"(10,)",relu,adam,0.001,0.0001,32,-2.55651566,0.40021898
wind_max,StandardScaler,"(10,)",relu,adam,0.001,0.001,auto,-2.46575556,0.45416735
wind_max,StandardScaler,"(10,)",relu,adam,0.001,0.001,32,-2.66159912,0.38062498
wind_max,StandardScaler,"(10,)",relu,adam,0.01,0.0001,auto,-2.40884056,0.39923833
wind_max,StandardScaler,"(10,)",relu,adam,0.01,0.0001,32,-2.58327247,0.41371955
wind_max,StandardScaler,"(10,)",relu,adam,0.01,0.001,auto,-2.48020783,0.43993771
wind_max,StandardScaler,"(10,)",relu,adam,0.01,0.001,32,-2.69909424,0.41138158
wind_max,StandardScaler,"(10,)",tanh,adam,0.001,0.0001,auto,-2.40256674,0.43740842
wind_max,StandardScaler,"(10,)",tanh,adam,0.001,0.0001,32,-2.46257514,0.37571383
wind_max,StandardScaler,"(10,)",tanh,adam,0.001,0.001,auto,-2.45558995,0.45095
wind_max,StandardScaler,"(10,)",tanh,adam,0.001,0.001,32,-2.52856065,0.39189367
wind_max,StandardScaler,"(10,)",tanh,adam,0.01,0.0001,auto,-2.38822786,0.45702898
wind_max,StandardScaler,"(10,)",tanh,adam,0.01,0.0001,32,-2.44947818,0.37873997
wind_max,StandardScaler,"(10,)",tanh,adam,0.01,0.001,auto,-2.45614433,0.42406087
wind_max,StandardScaler,"(10,)",tanh,adam,0.01,0.001,32,-2.52638076,0.39835917
wind_max,StandardScaler,"(10,)",logistic,adam,0.001,0.0001,auto,-2.38145421,0.42961585
wind_max,StandardScaler,"(10,)",logistic,adam,0.001,0.0001,32,-2.45528654,0.38483385
wind_max,StandardScaler,"(10,)",logistic,adam,0.001,0.001,auto,-2.4493296,0.48137759
wind_max,StandardScaler,"(10,)",logistic,adam,0.001,0.001,32,-2.51832173,0.38681224
wind_max,StandardScaler,"(10,)",logistic,adam,0.01,0.0001,auto,-2.36518034,0.42118151
wind_max,StandardScaler,"(10,)",logistic,adam,0.01,0.0001,32,-2.42372367,0.3768156
wind_max,StandardScaler,"(10,)",logistic,adam,0.01,0.001,auto,-2.41683084,0.42447608
wind_max,StandardScaler,"(10,)",logistic,adam,0.01,0.001,32,-2.50846303,0.35752902
wind_max,None,"(100,)",relu,adam,0.001,0.0001,auto,-2.41992302,0.40025989
wind_max,None,"(100,)",relu,adam,0.001,0.0001,32,-2.48228114,0.37687131
wind_max,None,"(100,)",relu,adam,0.001,0.001,auto,-2.38815749,0.40433757
wind_max,None,"(100,)",relu,adam,0.001,0.001,32,-2.48556117,0.41109954
wind_max,None,"(100,)",relu,adam,0.01,0.0001,auto,-2.43664694,0.38788535
wind_max,None,"(100,)",relu,adam,0.01,0.0001,32,-2.51144631,0.39226413
wind_max,None,"(100,)",relu,adam,0.01,0.001,auto,-2.45286657,0.38688686
wind_max,None,"(100,)",relu,adam,0.01,0.001,32,-2.49189816,0.42882431
wind_max,None,"(100,)",tanh,adam,0.001,0.0001,auto,-2.42364249,0.38238716
wind_max,None,"(100,)",tanh,adam,0.001,0.0001,32,-2.49414659,0.40272889
wind_max,None,"(100,)",tanh,adam,0.001,0.001,auto,-2.46622056,0.39662147
wind_max,None,"(100,)",tanh,adam,0.001,0.001,32,-2.5327913,0.35984496
wind_max,None,"(100,)",tanh,adam,0.01,0.0001,auto,-2.43413053,0.37458832
wind_max,None,"(100,)",tanh,adam,0.01,0.0001,32,-2.5197335,0.40735228
wind_max,None,"(100,)",tanh,adam,0.01,0.001,auto,-2.47512452,0.36290479
wind_max,None,"(100,)",tanh,adam,0.01,0.001,32,-2.54710797,0.36900205
wind_max,None,"(100,)",logistic,adam,0.001,0.0001,auto,-2.53282061,0.45274526
wind_max,None,"(100,)",logistic,adam,0.001,0.0001,32,-2.64135349,0.4377851
wind_max,None,"(100,)",logistic,adam,0.001,0.001,auto,-2.66592976,0.42820466
wind_max,None,"(100,)",logistic,adam,0.001,0.001,32,-2.7007141,0.39143547
wind_max,None,"(100,)",logistic,adam,0.01,0.0001,auto,-2.52459759,0.42793911
wind_max,None,"(100,)",logistic,adam,0.01,0.0001,32,-2.64146334,0.41792667
wind_max,None,"(100,)",logistic,adam,0.01,0.001,auto,-2.6678789,0.41108908
wind_max,None,"(100,)",logistic,adam,0.01,0.001,32,-2.76079985,0.35653555
wind_max,StandardScaler,"(100,)",relu,adam,0.001,0.0001,auto,-2.5449975,0.46516897
wind_max,StandardScaler,"(100,)",relu,adam,0.001,0.0001,32,-2.62086599,0.37791277
wind_max,StandardScaler,"(100,)",relu,adam,0.001,0.001,auto,-2.75347354,0.39354334
wind_max,StandardScaler,"(100,)",relu,adam,0.001,0.001,32,-2.73055315,0.39182169
wind_max,StandardScaler,"(100,)",relu,adam,0.01,0.0001,auto,-2.53175806,0.3760279
wind_max,StandardScaler,"(100,)",relu,adam,0.01,0.0001,32,-2.65443226,0.37977073
wind_max,StandardScaler,"(100,)",relu,adam,0.01,0.001,auto,-2.67008566,0.36485938
wind_max,StandardScaler,"(100,)",relu,adam,0.01,0.001,32,-2.78816899,0.36406963
wind_max,StandardScaler,"(100,)",tanh,adam,0.001,0.0001,auto,-2.41321635,0.38224844
wind_max,StandardScaler,"(100,)",tanh,adam,0.001,0.0001,32,-2.45065064,0.34426674
wind_max,StandardScaler,"(100,)",tanh,adam,0.001,0.001,auto,-2.47195218,0.37435384
wind_max,StandardScaler,"(100,)",tanh,adam,0.001,0.001,32,-2.50611428,0.33361605
wind_max,StandardScaler,"(100,)",tanh,adam,0.01,0.0001,auto,-2.44932922,0.36911733
wind_max,StandardScaler,"(100,)",tanh,adam,0.01,0.0001,32,-2.48377008,0.35124024
wind_max,StandardScaler,"(100,)",tanh,adam,0.01,0.001,auto,-2.50609356,0.35210484
wind_max,StandardScaler,"(100,)",tanh,adam,0.01,0.001,32,-2.52562193,0.35925527
wind_max,StandardScaler,"(100,)",logistic,adam,0.001,0.0001,auto,-2.39059336,0.37586089
wind_max,StandardScaler,"(100,)",logistic,adam,0.001,0.0001,32,-2.43690557,0.33606414
wind_max,StandardScaler,"(100,)",logistic,adam,0.001,0.001,auto,-2.45472431,0.40042346
wind_max,StandardScaler,"(100,)",logistic,adam,0.001,0.001,32,-2.51311268,0.33920095
wind_max,StandardScaler,"(100,)",logistic,adam,0.01,0.0001,auto,-2.40590989,0.39567401
wind_max,StandardScaler,"(100,)",logistic,adam,0.01,0.0001,32,-2.49061526,0.37824407
wind_max,StandardScaler,"(100,)",logistic,adam,0.01,0.001,auto,-2.48198784,0.3505192
wind_max,StandardScaler,"(100,)",logistic,adam,0.01,0.001,32,-2.54432852,0.33096608
wind_max,None,"(30, 10)",relu,adam,0.001,0.0001,auto,-2.43077656,0.40717866
wind_max,None,"(30, 10)",relu,adam,0.001,0.0001,32,-2.49881812,0.36728171
wind_max,None,"(30, 10)",relu,adam,0.001,0.001,auto,-2.41005371,0.39582948
wind_max,None,"(30, 10)",relu,adam,0.001,0.001,32,-2.46454295,0.35628512
wind_max,None,"(30, 10)",relu,adam,0.01,0.0001,auto,-2.43544902,0.37657962
wind_max,None,"(30, 10)",relu,adam,0.01,0.0001,32,-2.51994459,0.35815655
wind_max,None,"(30, 10)",relu,adam,0.01,0.001,auto,-2.37642358,0.40472132
wind_max,None,"(30, 10)",relu,adam,0.01,0.001,32,-2.49599933,0.35932076
wind_max,None,"(30, 10)",tanh,adam,0.001,0.0001,auto,-2.46393553,0.37284017
wind_max,None,"(30, 10)",tanh,adam,0.001,0.0001,32,-2.50070123,0.39850699
wind_max,None,"(30, 10)",tanh,adam,0.001,0.001,auto,-2.43324541,0.40161277
wind_max,None,"(30, 10)",tanh,adam,0.001,0.001,32,-2.56004392,0.37617326
wind_max,None,"(30, 10)",tanh,adam,0.01,0.0001,auto,-2.42361785,0.38609238
wind_max,None,"(30, 10)",tanh,adam,0.01,0.0001,32,-2.47414237,0.38381596
wind_max,None,"(30, 10)",tanh,adam,0.01,0.001,auto,-2.43387877,0.41270031
wind_max,None,"(30, 10)",tanh,adam,0.01,0.001,32,-2.50086121,0.35165186
wind_max,None,"(30, 10)",logistic,adam,0.001,0.0001,auto,-2.63080872,0.38065516
wind_max,None,"(30, 10)",logistic,adam,0.001,0.0001,32,-2.9944763,0.42276527
wind_max,None,"(30, 10)",logistic,adam,0.001,0.001,auto,-2.69406633,0.46074427
wind_max,None,"(30, 10)",logistic,adam,0.001,0.001,32,-2.77380896,0.44208089
wind_max,None,"(30, 10)",logistic,adam,0.01,0.0001,auto,-2.56344408,0.41542651
wind_max,None,"(30, 10)",logistic,adam,0.01,0.0001,32,-2.78752188,0.34067
wind_max,None,"(30, 10)",logistic,adam,0.01,0.001,auto,-2.57971313,0.423571
wind_max,None,"(30, 10)",logistic,adam,0.01,0.001,32,-2.67628129,0.38262179
wind_max,StandardScaler,"(30, 10)",relu,adam,0.001,0.0001,auto,-2.70592615,0.42336655
wind_max,StandardScaler,"(30, 10)",relu,adam,0.001,0.0001,32,-2.87927959,0.43967807
wind_max,StandardScaler,"(30, 10)",relu,adam,0.001,0.001,auto,-2.64154835,0.41436276
wind_max,StandardScaler,"(30, 10)",relu,adam,0.001,0.001,32,-2.89470674,0.44440434
wind_max,StandardScaler,"(30, 10)",relu,adam,0.01,0.0001,auto,-2.61456766,0.43482657
wind_max,StandardScaler,"(30, 10)",relu,adam,0.01,0.0001,32,-2.78416767,0.36436653
wind_max,StandardScaler,"(30, 10)",relu,adam,0.01,0.001,auto,-2.51089999,0.45933241
wind_max,StandardScaler,"(30, 10)",relu,adam,0.01,0.001,32,-2.7466313,0.33619243
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.001,0.0001,auto,-2.43728299,0.37674937
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.001,0.0001,32,-2.54400967,0.33255364
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.001,0.001,auto,-2.45161203,0.43905674
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.001,0.001,32,-2.5134883,0.36967861
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.01,0.0001,auto,-2.37160693,0.36624145
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.01,0.0001,32,-2.48324637,0.38575829
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.01,0.001,auto,-2.47581033,0.42847124
wind_max,StandardScaler,"(30, 10)",tanh,adam,0.01,0.001,32,-2.52556051,0.3557334
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.001,0.0001,auto,-2.42730367,0.39422856
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.001,0.0001,32,-2.52432945,0.37123186
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.001,0.001,auto,-2.48866594,0.45033301
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.001,0.001,32,-2.51359066,0.39553681
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.01,0.0001,auto,-2.41401152,0.41921235
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.01,0.0001,32,-2.46055423,0.35355131
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.01,0.001,auto,-2.41600626,0.37161599
wind_max,StandardScaler,"(30, 10)",logistic,adam,0.01,0.001,32,-2.52547244,0.3806015
wind_max,None,"(100, 50, 10)",relu,adam,0.001,0.0001,auto,-2.47990777,0.43374164
wind_max,None,"(100, 50, 10)",relu,adam,0.001,0.0001,32,-2.56069577,0.37716698
wind_max,None,"(100, 50, 10)",relu,adam,0.001,0.001,auto,-2.51614696,0.40695146
wind_max,None,"(100, 50, 10)",relu,adam,0.001,0.001,32,-2.5175136,0.36171984
wind_max,None,"(100, 50, 10)",relu,adam,0.01,0.0001,auto,-2.49962757,0.4003425
wind_max,None,"(100, 50, 10)",relu,adam,0.01,0.0001,32,-2.52727352,0.35817594
wind_max,None,"(100, 50, 10)",relu,adam,0.01,0.001,auto,-2.48167654,0.36919562
wind_max,None,"(100, 50, 10)",relu,adam,0.01,0.001,32,-2.47077975,0.40901948
wind_max,None,"(100, 50, 10)",tanh,adam,0.001,0.0001,auto,-2.50240951,0.38298065
wind_max,None,"(100, 50, 10)",tanh,adam,0.001,0.0001,32,-2.56086773,0.368627
wind_max,None,"(100, 50, 10)",tanh,adam,0.001,0.001,auto,-2.46785303,0.48535609
wind_max,None,"(100, 50, 10)",tanh,adam,0.001,0.001,32,-2.53528554,0.39920163
wind_max,None,"(100, 50, 10)",tanh,adam,0.01,0.0001,auto,-2.49926033,0.34637991
wind_max,None,"(100, 50, 10)",tanh,adam,0.01,0.0001,32,-2.57012685,0.34472403
wind_max,None,"(100, 50, 10)",tanh,adam,0.01,0.001,auto,-2.46460105,0.35259174
wind_max,None,"(100, 50, 10)",tanh,adam,0.01,0.001,32,-2.50940733,0.34106934
wind_max,None,"(100, 50, 10)",logistic,adam,0.001,0.0001,auto,-2.99497859,0.40371425
wind_max,None,"(100, 50, 10)",logistic,adam,0.001,0.0001,32,-2.96713837,0.38249143
wind_max,None,"(100, 50, 10)",logistic,adam,0.001,0.001,auto,-2.65826888,0.3939566
wind_max,None,"(100, 50, 10)",logistic,adam,0.001,0.001,32,-2.66053563,0.38969262
wind_max,None,"(100, 50, 10)",logistic,adam,0.01,0.0001,auto,-2.66662499,0.38877101
wind_max,None,"(100, 50, 10)",logistic,adam,0.01,0.0001,32,-2.76665979,0.40962881
wind_max,None,"(100, 50, 10)",logistic,adam,0.01,0.001,auto,-2.46405122,0.47654602
wind_max,None,"(100, 50, 10)",logistic,adam,0.01,0.001,32,-2.57314756,0.38349863
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.0001,auto,-2.93467525,0.44727209
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.0001,32,-2.99924679,0.41404565
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.001,auto,-2.60322273,0.40705545
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.001,0.001,32,-2.68072606,0.39653605
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.0001,auto,-2.63309028,0.52650002
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.0001,32,-2.73850425,0.40837474
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.001,auto,-2.486307,0.43992576
wind_max,StandardScaler,"(100, 50, 10)",relu,adam,0.01,0.001,32,-2.58763573,0.39219365
wind_max,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.0001,auto,-2.73442598,0.4100498
wind_max,StandardScaler,"(100, 50, 10)",tanh,adam,0.001,0.0001,32,-2.89985625,0.40821449
