variable,scaler,regressor__hidden_layers,regressor__activation,regressor__lr,regressor__epochs,regressor__batch_size,score,std
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.0005,100,16,-0.46482763,0.05440978
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.0005,100,32,-0.46686465,0.05799574
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.001,50,16,-0.46693944,0.05489644
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.001,50,32,-0.4793246,0.05828538
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.001,100,16,-0.46344935,0.05287943
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.001,100,32,-0.46914622,0.0599222
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.01,50,16,-0.46617296,0.05554669
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.01,50,32,-0.47405723,0.06018146
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.01,100,16,-0.47657779,0.05326299
dwi_sin,StandardScaler,"(10,)",Sigmoid,0.01,100,32,-0.4851684,0.05829423
dwi_sin,None,"(25,)",ReLU,0.0005,50,16,-0.47087025,0.0583033
dwi_sin,None,"(25,)",ReLU,0.0005,50,32,-0.48054341,0.06400479
dwi_sin,None,"(25,)",ReLU,0.0005,100,16,-0.47189443,0.05456164
dwi_sin,None,"(25,)",ReLU,0.0005,100,32,-0.4918563,0.06940141
dwi_sin,None,"(25,)",ReLU,0.001,50,16,-0.48028179,0.05481177
dwi_sin,None,"(25,)",ReLU,0.001,50,32,-0.48002408,0.0645411
dwi_sin,None,"(25,)",ReLU,0.001,100,16,-0.47327919,0.05415022
dwi_sin,None,"(25,)",ReLU,0.001,100,32,-0.48556597,0.06498158
dwi_sin,None,"(25,)",ReLU,0.01,50,16,-0.47084007,0.06029377
dwi_sin,None,"(25,)",ReLU,0.01,50,32,-0.49693912,0.07261397
dwi_sin,None,"(25,)",ReLU,0.01,100,16,-0.46999262,0.05232511
dwi_sin,None,"(25,)",ReLU,0.01,100,32,-0.48873474,0.05382865
dwi_sin,None,"(25,)",Tanh,0.0005,50,16,-0.46997816,0.05573425
dwi_sin,None,"(25,)",Tanh,0.0005,50,32,-0.47869102,0.06974759
dwi_sin,None,"(25,)",Tanh,0.0005,100,16,-0.47919382,0.04804587
dwi_sin,None,"(25,)",Tanh,0.0005,100,32,-0.47996205,0.05916216
dwi_sin,None,"(25,)",Tanh,0.001,50,16,-0.46613098,0.06137686
dwi_sin,None,"(25,)",Tanh,0.001,50,32,-0.49066513,0.05434324
dwi_sin,None,"(25,)",Tanh,0.001,100,16,-0.47035024,0.05352329
dwi_sin,None,"(25,)",Tanh,0.001,100,32,-0.48366603,0.06112966
dwi_sin,None,"(25,)",Tanh,0.01,50,16,-0.47448505,0.05626539
dwi_sin,None,"(25,)",Tanh,0.01,50,32,-0.488551,0.05740326
dwi_sin,None,"(25,)",Tanh,0.01,100,16,-0.47009852,0.05876437
dwi_sin,None,"(25,)",Tanh,0.01,100,32,-0.48975955,0.06293182
dwi_sin,None,"(25,)",Sigmoid,0.0005,50,16,-0.47182212,0.05727299
dwi_sin,None,"(25,)",Sigmoid,0.0005,50,32,-0.49204224,0.05981452
