variable,regressor,scaler,pca,regressor_C,regressor_epsilon,regressor_kernel,regressor_loss,nystroem_n_components,score,std
dwi_sin,LinSVR,None,PCA,100.0,0.2,None,None,150,-0.6384045,0.06053106
dwi_sin,LinSVR,None,PCA,100.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,None,PCA,100.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,0.1,0.01,None,None,100,-0.47225955,0.06536404
dwi_sin,LinSVR,StandardScaler,None,0.1,0.01,None,None,150,-0.47158421,0.07172407
dwi_sin,LinSVR,StandardScaler,None,0.1,0.1,None,None,100,-0.47111091,0.06397439
dwi_sin,LinSVR,StandardScaler,None,0.1,0.1,None,None,150,-0.47081943,0.07047129
dwi_sin,LinSVR,StandardScaler,None,0.1,0.2,None,None,100,-0.46542611,0.06250746
dwi_sin,LinSVR,StandardScaler,None,0.1,0.2,None,None,150,-0.46406413,0.06558068
dwi_sin,LinSVR,StandardScaler,None,0.1,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,0.1,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,1.0,0.01,None,None,100,-0.47754765,0.06953956
dwi_sin,LinSVR,StandardScaler,None,1.0,0.01,None,None,150,-0.47626526,0.07199245
dwi_sin,LinSVR,StandardScaler,None,1.0,0.1,None,None,100,-0.47763708,0.06613746
dwi_sin,LinSVR,StandardScaler,None,1.0,0.1,None,None,150,-0.47362489,0.07320481
dwi_sin,LinSVR,StandardScaler,None,1.0,0.2,None,None,100,-0.4709802,0.06553023
dwi_sin,LinSVR,StandardScaler,None,1.0,0.2,None,None,150,-0.46864008,0.06923727
dwi_sin,LinSVR,StandardScaler,None,1.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,1.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,10.0,0.01,None,None,100,-0.48345759,0.07002528
dwi_sin,LinSVR,StandardScaler,None,10.0,0.01,None,None,150,-0.47941353,0.07445925
dwi_sin,LinSVR,StandardScaler,None,10.0,0.1,None,None,100,-0.47607194,0.06679188
dwi_sin,LinSVR,StandardScaler,None,10.0,0.1,None,None,150,-0.47875356,0.07603008
dwi_sin,LinSVR,StandardScaler,None,10.0,0.2,None,None,100,-0.47260738,0.06718872
dwi_sin,LinSVR,StandardScaler,None,10.0,0.2,None,None,150,-0.46866428,0.07007836
dwi_sin,LinSVR,StandardScaler,None,10.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,10.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,100.0,0.01,None,None,100,-0.48234103,0.06872327
dwi_sin,LinSVR,StandardScaler,None,100.0,0.01,None,None,150,-0.48027043,0.07683497
dwi_sin,LinSVR,StandardScaler,None,100.0,0.1,None,None,100,-0.47936327,0.06729821
dwi_sin,LinSVR,StandardScaler,None,100.0,0.1,None,None,150,-0.47311602,0.07029576
dwi_sin,LinSVR,StandardScaler,None,100.0,0.2,None,None,100,-0.4736749,0.06551431
dwi_sin,LinSVR,StandardScaler,None,100.0,0.2,None,None,150,-0.46976443,0.06905364
dwi_sin,LinSVR,StandardScaler,None,100.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,None,100.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,0.1,0.01,None,None,100,-0.69875067,0.02790771
dwi_sin,LinSVR,StandardScaler,PCA,0.1,0.01,None,None,150,-0.63866953,0.03666243
dwi_sin,LinSVR,StandardScaler,PCA,0.1,0.1,None,None,100,-0.70140498,0.03408399
dwi_sin,LinSVR,StandardScaler,PCA,0.1,0.1,None,None,150,-0.64895495,0.04083425
dwi_sin,LinSVR,StandardScaler,PCA,0.1,0.2,None,None,100,-0.70051904,0.04494195
dwi_sin,LinSVR,StandardScaler,PCA,0.1,0.2,None,None,150,-0.63939154,0.04731712
dwi_sin,LinSVR,StandardScaler,PCA,0.1,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,0.1,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,1.0,0.01,None,None,100,-0.68689751,0.02636991
dwi_sin,LinSVR,StandardScaler,PCA,1.0,0.01,None,None,150,-0.62138519,0.03480607
dwi_sin,LinSVR,StandardScaler,PCA,1.0,0.1,None,None,100,-0.69169142,0.03564971
dwi_sin,LinSVR,StandardScaler,PCA,1.0,0.1,None,None,150,-0.62244964,0.05469195
dwi_sin,LinSVR,StandardScaler,PCA,1.0,0.2,None,None,100,-0.68362715,0.04623285
dwi_sin,LinSVR,StandardScaler,PCA,1.0,0.2,None,None,150,-0.62120281,0.04860508
dwi_sin,LinSVR,StandardScaler,PCA,1.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,1.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,10.0,0.01,None,None,100,-0.67498103,0.02633033
dwi_sin,LinSVR,StandardScaler,PCA,10.0,0.01,None,None,150,-0.61979879,0.03646361
dwi_sin,LinSVR,StandardScaler,PCA,10.0,0.1,None,None,100,-0.68505054,0.03225403
dwi_sin,LinSVR,StandardScaler,PCA,10.0,0.1,None,None,150,-0.61718816,0.05354891
dwi_sin,LinSVR,StandardScaler,PCA,10.0,0.2,None,None,100,-0.67736594,0.04689762
dwi_sin,LinSVR,StandardScaler,PCA,10.0,0.2,None,None,150,-0.61552271,0.05300658
dwi_sin,LinSVR,StandardScaler,PCA,10.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,10.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,100.0,0.01,None,None,100,-0.67857066,0.02313942
dwi_sin,LinSVR,StandardScaler,PCA,100.0,0.01,None,None,150,-0.62099074,0.03787606
dwi_sin,LinSVR,StandardScaler,PCA,100.0,0.1,None,None,100,-0.68528428,0.03253293
dwi_sin,LinSVR,StandardScaler,PCA,100.0,0.1,None,None,150,-0.62114658,0.04472044
dwi_sin,LinSVR,StandardScaler,PCA,100.0,0.2,None,None,100,-0.68578161,0.03971172
dwi_sin,LinSVR,StandardScaler,PCA,100.0,0.2,None,None,150,-0.62537374,0.05197755
dwi_sin,LinSVR,StandardScaler,PCA,100.0,1.0,None,None,100,-0.71634879,0.01232881
dwi_sin,LinSVR,StandardScaler,PCA,100.0,1.0,None,None,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.0001,0.01,None,epsilon_insensitive,100,-0.47966154,0.05935233
dwi_sin,SDG,None,None,0.0001,0.01,None,epsilon_insensitive,150,-0.48239579,0.06782677
dwi_sin,SDG,None,None,0.0001,0.01,None,squared_epsilon_insensitive,100,-0.4757099,0.05393006
dwi_sin,SDG,None,None,0.0001,0.01,None,squared_epsilon_insensitive,150,-0.47672382,0.06025063
dwi_sin,SDG,None,None,0.0001,0.1,None,epsilon_insensitive,100,-0.4766749,0.0611394
dwi_sin,SDG,None,None,0.0001,0.1,None,epsilon_insensitive,150,-0.48195945,0.0677516
dwi_sin,SDG,None,None,0.0001,0.1,None,squared_epsilon_insensitive,100,-0.48060763,0.04787677
dwi_sin,SDG,None,None,0.0001,0.1,None,squared_epsilon_insensitive,150,-0.48186797,0.05840683
dwi_sin,SDG,None,None,0.0001,0.2,None,epsilon_insensitive,100,-0.47426213,0.05848373
dwi_sin,SDG,None,None,0.0001,0.2,None,epsilon_insensitive,150,-0.48103413,0.06709414
dwi_sin,SDG,None,None,0.0001,0.2,None,squared_epsilon_insensitive,100,-0.48506105,0.04625291
dwi_sin,SDG,None,None,0.0001,0.2,None,squared_epsilon_insensitive,150,-0.48623585,0.05397026
