emission_time,valid_time,dwi_sin,dwi_cos,wind_max,wind_med,shww_max,shww_med,mdts_sin,mdts_cos,shts_max,shts_med
2023-01-01 12:00:00,2023-01-01 12:00:00,0.09246668656927427,-0.8359135922384745,12.32334293294177,7.813374760863102,2.1397568471728143,1.0607467384799187,-0.781992274343635,0.6125565692892674,1.5424650987182693,1.0969644011103006
2023-01-01 12:00:00,2023-01-01 15:00:00,-0.00247073184262965,-0.7641468935244009,13.07342047388019,9.213337084206422,2.2620259670707656,1.236275343764409,-0.7602416930363896,0.621303796466637,1.5281980759103166,0.8956081869508824
2023-01-01 12:00:00,2023-01-01 18:00:00,-0.7068307418965735,0.21448990524191314,10.293018406089267,5.75537458726136,1.4331547794461794,0.843401316750407,-0.765407469158026,0.6370236320532149,1.4471524757691037,0.7760167567084161
2023-01-01 12:00:00,2023-01-01 21:00:00,-0.8474080954478683,0.31009522990314414,8.952938608627043,5.462189996911854,1.620366319300731,0.932485692469464,-0.7789745254028496,0.6115300262231097,1.6947245484194282,1.018924375511307
2023-01-01 12:00:00,2023-01-02 00:00:00,-0.8626864965821673,0.30095747160476205,10.196584529222326,6.887175953868319,1.6498710270611476,1.022017859544459,-0.7696786254906358,0.5943957831149143,1.5668422143016785,1.156730263847791
2023-01-01 12:00:00,2023-01-02 03:00:00,-0.9285343178667161,0.2732680016313463,11.464830514426481,7.352152188607024,2.008309495211714,1.126588975164695,-0.7384082647684135,0.6443641519668486,1.6916173784708812,1.0128626245174996
2023-01-01 12:00:00,2023-01-02 06:00:00,-0.882750677282413,0.1397520633204943,10.320440876278585,6.90923209991485,2.10157637898917,1.0928066072863492,-0.7494319319263248,0.6385365245736412,1.2668086536254628,0.8073034341864729
2023-01-01 12:00:00,2023-01-02 09:00:00,-0.9064994871639548,0.011929218038142758,9.087075432121594,5.516618760950315,1.9000936655773668,1.020246816869555,-0.756314609239125,0.6119130381572008,1.5161738824679878,0.8795425027077457
2023-01-01 12:00:00,2023-01-02 12:00:00,-0.8001685503145767,-0.10329160860155262,7.545615722392613,4.470684348860798,1.4524569883502678,0.7864817500726967,-0.7847373219089901,0.5842489759808447,1.7484971600652865,1.1186292728855696
2023-01-01 18:00:00,2023-01-01 18:00:00,-0.7068307418965735,0.21448990524191314,10.293018406089267,5.75537458726136,1.4331547794461794,0.843401316750407,-0.765407469158026,0.6370236320532149,1.4471524757691037,0.7760167567084161
2023-01-01 18:00:00,2023-01-01 21:00:00,-0.8474080954478683,0.31009522990314414,8.952938608627043,5.462189996911854,1.620366319300731,0.932485692469464,-0.7789745254028496,0.6115300262231097,1.6947245484194282,1.018924375511307
2023-01-01 18:00:00,2023-01-02 00:00:00,-0.8626864965821673,0.30095747160476205,10.196584529222326,6.887175953868319,1.6498710270611476,1.022017859544459,-0.7696786254906358,0.5943957831149143,1.5668422143016785,1.156730263847791
2023-01-01 18:00:00,2023-01-02 03:00:00,-0.9285343178667161,0.2732680016313463,11.464830514426481,7.352152188607024,2.008309495211714,1.126588975164695,-0.7384082647684135,0.6443641519668486,1.6916173784708812,1.0128626245174996
2023-01-01 18:00:00,2023-01-02 06:00:00,-0.882750677282413,0.1397520633204943,10.320440876278585,6.90923209991485,2.10157637898917,1.0928066072863492,-0.7494319319263248,0.6385365245736412,1.2668086536254628,0.8073034341864729
2023-01-01 18:00:00,2023-01-02 09:00:00,-0.9064994871639548,0.011929218038142758,9.087075432121594,5.516618760950315,1.9000936655773668,1.020246816869555,-0.756314609239125,0.6119130381572008,1.5161738824679878,0.8795425027077457
2023-01-01 18:00:00,2023-01-02 12:00:00,-0.8001685503145767,-0.10329160860155262,7.545615722392613,4.470684348860798,1.4524569883502678,0.7864817500726967,-0.7847373219089901,0.5842489759808447,1.7484971600652865,1.1186292728855696
2023-01-01 18:00:00,2023-01-02 15:00:00,-0.4101676273444476,-0.07105609328740324,5.9647008337269805,3.5259139657242655,0.9818608210497646,0.3449387941309107,-0.7753697958789214,0.6165531858308493,1.4100047952301287,0.8565798744071563
2023-01-01 18:00:00,2023-01-02 18:00:00,-0.6503038174067263,-0.23977098313232575,5.688244888227641,3.291824539541506,0.723121059840429,0.35160589661958647,-0.7836436102544208,0.5904731351028706,1.9139406449943788,1.3318358428631265
2023-01-02 12:00:00,2023-01-02 12:00:00,-0.9455198655994457,-0.11441849501693657,7.285388895188653,4.382360813316041,1.2886163008549945,0.7695217735073691,-0.8231253243484076,0.5090305358222889,2.6075670605419523,1.8892915676676012
2023-01-02 12:00:00,2023-01-02 15:00:00,-0.5616310189955881,-0.2548139679532502,6.088207348017035,3.6956679610575445,0.7457406917556598,0.4310431051899168,-0.8355553997795744,0.4933162207148057,2.501517232285691,1.7884151208630021
2023-01-02 12:00:00,2023-01-02 18:00:00,-0.4285135222266631,-0.4057057523122827,5.3216956586851,3.334551064705359,0.6626128090079312,0.3240871346792661,-0.8484571635339301,0.4447931465304177,2.3961449561795596,1.7657484132304866
2023-01-02 12:00:00,2023-01-02 21:00:00,-0.4186499079156099,-0.4780650614839045,6.041917346900445,3.0094351303491065,0.5194350020507849,0.24936816717533064,-0.8563691178146515,0.46180904193055405,2.5713267502363713,1.9310856275742918
2023-01-02 12:00:00,2023-01-03 00:00:00,-0.39808071810637835,-0.3814384399951089,6.2163347143874015,3.3922102652278356,0.5870693879150304,0.25188168060158034,-0.8183854319327238,0.5010837887106284,2.4497466663406358,1.7730379157695606
