emission_time,valid_time,latitude,longitude,Diff_U,Diff_V,Diff_shww,Diff_mdts,Diff_shts
2020-01-01 12:00:00,2020-01-01 15:00:00,43.46,-2.14,-0.12902021,-0.041667223,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 15:00:00,43.46,-2.015,0.05310464,-0.08995688,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 15:00:00,43.46,-1.8900000000000001,0.23096418,0.17260408,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 15:00:00,43.46,-1.765,0.27445722,0.24285674,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.835,-2.39,-0.258316,-0.8798973,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.835,-2.265,-0.84911025,0.20071678,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.835,-2.14,-0.2558597,0.7280527,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.835,-2.015,-0.0716165,0.516302,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.835,-1.8900000000000001,0.043088898,0.35499936,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.835,-1.765,0.45895422,-0.261123,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.71,-2.39,0.29054546,-0.19515097,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.71,-2.265,0.048585296,-0.21504134,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.71,-2.14,-0.18834496,-0.09754932,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.71,-2.015,-0.10643262,-0.033808053,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.71,-1.8900000000000001,0.01342082,-0.04157102,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.71,-1.765,0.12384474,-0.1941123,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.585,-2.39,-0.044629693,0.15787286,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.585,-2.265,0.02891469,0.14748156,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.585,-2.14,0.13555574,-0.026366174,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.585,-2.015,0.06519914,-0.08329952,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.585,-1.8900000000000001,-0.14683199,-0.07866168,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.585,-1.765,-0.05362749,-0.1872145,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.46,-2.39,0.028260708,-0.24094409,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.46,-2.265,0.038505316,-0.19986057,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.46,-2.14,0.19714308,-0.30280307,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.46,-2.015,0.20660019,-0.25234306,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.46,-1.8900000000000001,0.35819507,-0.070785105,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 18:00:00,43.46,-1.765,0.58037543,-0.13079864,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.835,-2.39,0.056334376,-0.15888572,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.835,-2.265,-0.17052603,0.09549558,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.835,-2.14,-0.07092208,0.35302413,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.835,-2.015,-0.067165494,0.0029594302,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.835,-1.8900000000000001,0.013405383,-0.0864023,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.835,-1.765,0.18320441,-0.28731883,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.71,-2.39,0.2343595,-0.27050358,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.71,-2.265,0.18779588,-0.33404,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.71,-2.14,-0.0028488636,-0.18218309,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.71,-2.015,0.04285133,-0.15356284,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.71,-1.8900000000000001,-0.049930334,0.08189523,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.71,-1.765,0.2741282,0.10299814,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.585,-2.39,-0.000310421,-0.18121362,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.585,-2.265,-0.02899313,-0.2588752,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.585,-2.14,0.07139373,-0.43512028,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.585,-2.015,-0.08926964,-0.5117317,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.585,-1.8900000000000001,-0.05829525,-0.41189498,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.585,-1.765,0.2652998,-0.36666125,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.46,-2.39,0.24603724,-0.4756508,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.46,-2.265,0.28053927,-0.52766085,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.46,-2.14,0.5485921,-0.5100868,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.46,-2.015,0.4408517,-0.66564584,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.46,-1.8900000000000001,0.441087,-0.6358954,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-01 21:00:00,43.46,-1.765,0.3258673,-0.3984512,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.835,-2.39,0.31019855,-0.18780518,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.835,-2.265,0.17348838,-0.07560468,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.835,-2.14,0.13773775,-0.15100837,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.835,-2.015,0.09566474,-0.27999973,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.835,-1.8900000000000001,0.25953817,-0.20344949,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.835,-1.765,0.39837956,-0.15979314,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.71,-2.39,0.25563645,-0.25544286,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.71,-2.265,0.3077562,-0.26798868,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.71,-2.14,0.45524263,-0.11140323,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.71,-2.015,0.42968583,-0.31712437,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.71,-1.8900000000000001,0.39776182,-0.20138407,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.71,-1.765,0.38806748,-0.20847261,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.585,-2.39,0.05915284,-0.67277,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.585,-2.265,-0.0168674,-0.4936149,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.585,-2.14,0.29808772,-0.3432753,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.585,-2.015,0.4318664,-0.7642076,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.585,-1.8900000000000001,0.56472445,-0.5698427,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.585,-1.765,0.6712482,-0.5690634,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.46,-2.39,0.17999959,0.00675416,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.46,-2.265,0.15656134,0.2374165,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.46,-2.14,0.3632978,0.6589205,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.46,-2.015,0.4377494,-0.07291174,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.46,-1.8900000000000001,0.25320625,-0.07753885,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 00:00:00,43.46,-1.765,0.43253803,-0.19851613,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.835,-2.39,0.41571903,-0.29242635,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.835,-2.265,0.407516,-0.30753326,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.835,-2.14,0.30743885,-0.411165,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.835,-2.015,0.28649664,-0.33814454,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.835,-1.8900000000000001,0.38311386,-0.35620546,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.835,-1.765,0.330153,-0.32516408,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.71,-2.39,0.2808547,-0.27909136,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.71,-2.265,0.42958212,-0.20942211,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.71,-2.14,0.5828748,-0.24594712,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.71,-2.015,0.43144655,-0.24711657,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.71,-1.8900000000000001,0.4365735,-0.20395184,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.71,-1.765,0.518981,-0.25437474,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.585,-2.39,0.36528778,-0.9589858,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.585,-2.265,0.13454509,-0.81506324,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.585,-2.14,0.45118403,-0.96154594,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.585,-2.015,0.46647906,-0.9231024,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.585,-1.8900000000000001,0.5957899,-0.5761156,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.585,-1.765,0.74094963,-0.26206183,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.46,-2.39,0.35715222,0.2182672,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.46,-2.265,0.29677773,0.23041725,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.46,-2.14,0.5287249,0.31540608,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.46,-2.015,0.21946228,-0.41999817,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.46,-1.8900000000000001,0.361701,-0.5149987,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 03:00:00,43.46,-1.765,0.4417801,-0.2726295,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.835,-2.39,0.39405155,-0.2242794,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.835,-2.265,0.4700694,-0.5675366,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.835,-2.14,0.25809765,-0.83591986,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.835,-2.015,0.19136906,-0.8575764,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.835,-1.8900000000000001,0.30181885,-0.56208086,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.835,-1.765,0.29568195,-0.38841152,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.71,-2.39,0.2883973,-0.5383227,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.71,-2.265,0.18457675,-0.28908014,0.0,0.0,0.0
2020-01-01 12:00:00,2020-01-02 06:00:00,43.71,-2.14,0.56027937,-0.09114623,0.0,0.0,0.0
