emission_time,validate_time,latitude,longitude,dwi_sin,dwi_cos,wind,shww,mdts_sin,mdts_cos,shts
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-4.26,0.96901876,-0.24698713,4.7246094,0.21709087,-0.8043565,0.59414697,0.48443627
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-4.135,0.97156656,-0.23676662,4.7246094,0.2733653,-0.8346501,0.5507806,0.47132897
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-4.01,0.96428126,-0.26488042,4.7246094,0.32962444,-0.8326166,0.55384976,0.45298028
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-3.885,0.95705664,-0.28990105,5.7963867,0.37117413,-0.8623317,0.5063438,0.43878198
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-3.76,0.94912386,-0.31490305,5.7963867,0.40152386,-0.8756861,0.48288083,0.427109
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-3.635,0.9392752,-0.3431648,5.7963867,0.41590527,-0.8717731,0.48990977,0.4209597
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-3.51,0.9272702,-0.37439293,6.0649414,0.42963818,-0.8702324,0.4926414,0.41712213
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-3.385,0.91645086,-0.40014726,6.0649414,0.4233897,-0.86480695,0.50210446,0.41277337
2015-01-01 12:00:00,2015-01-01 12:00:00,43.835,-3.26,0.9009537,-0.4339152,5.4492188,0.39833477,-0.8572492,0.5149018,0.41474938
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-4.51,0.89560616,0.44484782,2.0,0.02058819,-0.058152102,0.99830776,0.30458623
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-4.385,0.97780776,0.20950407,2.0,0.020664483,-0.024502987,0.9996998,0.31105596
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-4.26,0.98301655,-0.18351693,2.0,0.020763665,0.02444337,0.9997012,0.3204096
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-4.135,0.9185726,-0.39525223,2.0,0.02083233,0.05455291,0.9985109,0.32619268
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-4.01,0.9663021,-0.25741062,2.0,0.12771252,0.0023564803,0.9999972,0.3191889
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-3.885,0.9946398,-0.10340062,4.8027344,0.24142101,-0.05325069,0.9985812,0.31173497
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-3.76,0.99866545,-0.051646058,4.8027344,0.29154614,-0.08236253,0.9966024,0.30557805
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-3.635,0.9969274,-0.07833106,4.8027344,0.33414105,-0.12791899,0.99178463,0.28750402
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-3.51,0.9944782,-0.10494321,5.784668,0.37671307,-0.17334178,0.98486173,0.2694376
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-3.385,0.99293464,-0.11866241,5.784668,0.36023358,-0.1658168,0.9861566,0.26937658
2015-01-01 12:00:00,2015-01-01 15:00:00,43.46,-3.26,0.9897795,-0.14260651,4.946289,0.31055096,-0.13575876,0.9907419,0.2742899
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-4.51,0.9717557,0.23598908,2.0,0.034893304,-0.21760005,0.97603804,0.3748911
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-4.385,0.9817132,0.19036612,2.0,0.069912225,-0.039630346,0.9992144,0.38370305
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-4.26,0.99597096,-0.08967631,2.0,0.076954156,0.029077735,0.99957716,0.3917902
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-4.135,0.92551166,-0.3787191,2.0,0.079754144,0.06108693,0.99813247,0.398588
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-4.01,0.9446022,-0.32821742,2.0,0.18546703,-0.26628175,0.96389526,0.36340886
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-3.885,0.9793275,-0.20228101,4.8027344,0.28075817,-0.3135158,0.949583,0.35717565
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-3.76,0.9938628,-0.11061971,4.8027344,0.35026196,-0.35412776,0.93519706,0.35068303
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-3.635,0.9921538,-0.12502322,4.8027344,0.3607295,-0.38453686,0.92310965,0.34077245
